EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
1	12:33:21	4	0.0000	0.3592169054972083	0.17636922001838684	0.9072	0.9043	0.9057
2	13:10:20	4	0.0000	0.2211920055868173	0.11124755442142487	0.9254	0.9305	0.9279
3	13:47:17	4	0.0000	0.19381283097644833	0.11028687655925751	0.9294	0.9402	0.9348
4	14:24:09	4	0.0000	0.1925625054863614	0.10681818425655365	0.9321	0.9445	0.9383
5	15:00:56	4	0.0000	0.18075492875338123	0.11206260323524475	0.9368	0.9406	0.9387
6	15:37:42	4	0.0000	0.17524857581343897	0.11003755778074265	0.9335	0.9410	0.9372
7	16:14:31	4	0.0000	0.15931038153566326	0.1253410428762436	0.9304	0.9358	0.9331
8	16:51:24	4	0.0000	0.16053336656099176	0.12391051650047302	0.9396	0.9426	0.9411
9	17:28:05	4	0.0000	0.1590428160623491	0.1257738471031189	0.9339	0.9473	0.9406
10	18:04:53	4	0.0000	0.14964490167298533	0.1382586508989334	0.9302	0.9408	0.9355
11	18:41:33	4	0.0000	0.14682254513923948	0.13701947033405304	0.9351	0.9424	0.9387
12	19:18:12	4	0.0000	0.15043419943368025	0.15095502138137817	0.9359	0.9418	0.9388
13	19:54:57	4	0.0000	0.14460110974684232	0.14258751273155212	0.9374	0.9424	0.9399
14	20:31:42	4	0.0000	0.14146839202254796	0.16016331315040588	0.9372	0.9420	0.9396
15	21:08:34	4	0.0000	0.14678317207995362	0.15258659422397614	0.9380	0.9420	0.9400
16	21:45:16	4	0.0000	0.152214311589488	0.14317740499973297	0.9405	0.9465	0.9434
17	22:21:56	4	0.0000	0.1459472061536186	0.14864514768123627	0.9411	0.9459	0.9435
18	22:58:37	4	0.0000	0.1397127115109613	0.1518455296754837	0.9409	0.9465	0.9437
19	23:35:20	4	0.0000	0.14249197369562547	0.15170469880104065	0.9406	0.9461	0.9433
20	00:12:06	4	0.0000	0.13975302390449296	0.15191785991191864	0.9408	0.9465	0.9436